datetime,주오염물질,등급,지수,등급,PM10,등급,PM2.5,등급,오존,등급,이산화질소,등급,일산화탄소,등급,아황산가스
2024-10-27:10,오존,좋음,48,좋음,14,좋음,9,좋음,0.0286,좋음,0.0118,좋음,0.5,좋음,0.0014
2024-10-27:09,오존,좋음,38,좋음,13,좋음,9,좋음,0.0228,좋음,0.0142,좋음,0.47,좋음,0.0014
2024-10-27:08,PM2.5,좋음,30,좋음,14,좋음,9,좋음,0.0176,좋음,0.0153,좋음,0.47,좋음,0.0013
2024-10-27:07,PM2.5,좋음,30,좋음,15,좋음,9,좋음,0.0182,좋음,0.0141,좋음,0.47,좋음,0.0013
2024-10-27:06,오존,좋음,40,좋음,16,좋음,10,좋음,0.0237,좋음,0.0097,좋음,0.46,좋음,0.0013
2024-10-27:05,오존,좋음,48,좋음,17,좋음,12,좋음,0.0288,좋음,0.0066,좋음,0.44,좋음,0.0013
2024-10-27:04,오존,좋음,48,좋음,17,좋음,12,좋음,0.0286,좋음,0.007,좋음,0.45,좋음,0.0012
2024-10-27:03,오존,좋음,42,좋음,18,좋음,12,좋음,0.025,좋음,0.0098,좋음,0.49,좋음,0.0012
2024-10-27:02,오존,좋음,36,좋음,17,좋음,10,좋음,0.0214,좋음,0.012,좋음,0.52,좋음,0.0012
2024-10-27:01,PM2.5,좋음,33,좋음,17,좋음,10,좋음,0.0179,좋음,0.0159,좋음,0.58,좋음,0.0012
2024-10-26:24,오존,좋음,39,좋음,18,좋음,11,좋음,0.0236,좋음,0.0155,좋음,0.53,좋음,0.0012
2024-10-26:23,오존,좋음,47,좋음,20,좋음,12,좋음,0.0282,좋음,0.0133,좋음,0.5,좋음,0.0012
2024-10-26:22,PM2.5,좋음,50,좋음,23,좋음,15,좋음,0.0285,좋음,0.0136,좋음,0.5,좋음,0.0012
2024-10-26:21,PM2.5,좋음,50,좋음,23,좋음,15,좋음,0.0219,좋음,0.0197,좋음,0.55,좋음,0.0012
2024-10-26:20,PM2.5,좋음,43,좋음,22,좋음,13,좋음,0.0202,좋음,0.0228,좋음,0.6,좋음,0.0013
2024-10-26:19,이산화질소,좋음,57,좋음,19,좋음,11,좋음,0.013,보통,0.0336,좋음,0.79,좋음,0.0013
2024-10-26:18,오존,좋음,52,좋음,14,좋음,7,보통,0.0317,좋음,0.0215,좋음,0.56,좋음,0.0013
2024-10-26:17,오존,좋음,65,좋음,12,좋음,5,보통,0.0467,좋음,0.009,좋음,0.38,좋음,0.0013
2024-10-26:16,오존,좋음,63,좋음,11,좋음,6,보통,0.0448,좋음,0.0093,좋음,0.37,좋음,0.0013
2024-10-26:15,오존,좋음,62,좋음,11,좋음,6,보통,0.0439,좋음,0.0086,좋음,0.38,좋음,0.0013
2024-10-26:14,오존,좋음,62,좋음,14,좋음,8,보통,0.0433,좋음,0.0077,좋음,0.41,좋음,0.0013
2024-10-26:13,오존,좋음,60,좋음,17,좋음,10,보통,0.0406,좋음,0.0078,좋음,0.43,좋음,0.0013
2024-10-26:12,오존,좋음,55,좋음,19,좋음,12,보통,0.0348,좋음,0.0098,좋음,0.45,좋음,0.0014
2024-10-26:11,PM2.5,좋음,43,좋음,20,좋음,13,좋음,0.024,좋음,0.0138,좋음,0.48,좋음,0.0015
2024-10-26:10,PM2.5,좋음,43,좋음,20,좋음,13,좋음,0.015,좋음,0.018,좋음,0.52,좋음,0.0015
2024-10-26:09,PM2.5,좋음,43,좋음,19,좋음,13,좋음,0.0063,좋음,0.0256,좋음,0.55,좋음,0.0013
2024-10-26:08,이산화질소,좋음,49,좋음,19,좋음,13,좋음,0.0022,좋음,0.0292,좋음,0.56,좋음,0.0014
2024-10-26:07,이산화질소,좋음,44,좋음,20,좋음,13,좋음,0.0044,좋음,0.0264,좋음,0.51,좋음,0.0012
2024-10-26:06,PM2.5,좋음,50,좋음,22,좋음,15,좋음,0.0058,좋음,0.0257,좋음,0.51,좋음,0.0012
2024-10-26:05,PM2.5,보통,54,좋음,24,보통,17,좋음,0.004,좋음,0.0288,좋음,0.54,좋음,0.0012
2024-10-26:04,이산화질소,보통,55,좋음,25,보통,16,좋음,0.0014,보통,0.0324,좋음,0.56,좋음,0.0013
2024-10-26:03,이산화질소,보통,58,좋음,26,보통,16,좋음,0.0011,보통,0.0341,좋음,0.58,좋음,0.0013
2024-10-26:02,이산화질소,좋음,60,좋음,25,좋음,15,좋음,0.001,보통,0.0355,좋음,0.61,좋음,0.0013
2024-10-26:01,이산화질소,좋음,63,좋음,24,좋음,13,좋음,0.001,보통,0.0372,좋음,0.68,좋음,0.0013
2024-10-25:24,이산화질소,좋음,67,좋음,23,좋음,14,좋음,0.001,보통,0.0398,좋음,0.73,좋음,0.0014
2024-10-25:23,이산화질소,좋음,70,좋음,24,좋음,15,좋음,0.0011,보통,0.0415,좋음,0.74,좋음,0.0014
2024-10-25:22,이산화질소,보통,71,좋음,25,보통,16,좋음,0.0015,보통,0.0425,좋음,0.66,좋음,0.0014
2024-10-25:21,이산화질소,보통,68,좋음,25,보통,16,좋음,0.0046,보통,0.0405,좋음,0.61,좋음,0.0015
2024-10-25:20,이산화질소,좋음,75,좋음,23,좋음,15,좋음,0.0014,보통,0.0446,좋음,0.66,좋음,0.0015
